Neighborhood,Latitude,Longitude,Venue,Venue Category
Tottenville,40.50533376115642,-74.24656934235283,Conference House Park,Park
Tottenville,40.50533376115642,-74.24656934235283,Towne Deli Pizzeria,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Angelina's Ristorante,Italian Restaurant
Tottenville,40.50533376115642,-74.24656934235283,La Bella Marketplace,Grocery Store
Tottenville,40.50533376115642,-74.24656934235283,Intoxx Fitness,Gym
Tottenville,40.50533376115642,-74.24656934235283,Tottenville Hot Bagels & Deli,Deli / Bodega
Tottenville,40.50533376115642,-74.24656934235283,Reggiano's Brick Oven Pizza & Cafe,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Mizu,Sushi Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Deluca’s Italian Restaurant,Italian Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Starbucks,Coffee Shop
Tottenville,40.50533376115642,-74.24656934235283,Seabra's Armory Restaurant,Seafood Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Belli Baci Bakery,Bakery
Tottenville,40.50533376115642,-74.24656934235283,Page Plaza Diner,Diner
Tottenville,40.50533376115642,-74.24656934235283,Mount Loretto Unique Area,State / Provincial Park
Tottenville,40.50533376115642,-74.24656934235283,Raritan Yacht Club,Harbor / Marina
Tottenville,40.50533376115642,-74.24656934235283,Bayside Creamery,Ice Cream Shop
Tottenville,40.50533376115642,-74.24656934235283,RollerJam USA,Skating Rink
Tottenville,40.50533376115642,-74.24656934235283,Mi Tierra,Caribbean Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Cigar Vault,Lounge
Tottenville,40.50533376115642,-74.24656934235283,Café Luna,Café
Tottenville,40.50533376115642,-74.24656934235283,Panera Bread,Bakery
Tottenville,40.50533376115642,-74.24656934235283,Bonao Restaurant,Latin American Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Ralph's Ices,Ice Cream Shop
Tottenville,40.50533376115642,-74.24656934235283,Raritan Bay Waterfront Park,Park
Tottenville,40.50533376115642,-74.24656934235283,campania coal fired pizza,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Fu Lin,Chinese Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Sciortinos Pizza,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,7-Eleven,Convenience Store
Tottenville,40.50533376115642,-74.24656934235283,Aloysia's Lounge,Bar
Tottenville,40.50533376115642,-74.24656934235283,Artisan Bakery,Bakery
Tottenville,40.50533376115642,-74.24656934235283,South Shore Bar and Grill,American Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Christmas Tree Shops,Gift Shop
Tottenville,40.50533376115642,-74.24656934235283,Blue Moon,Bar
Tottenville,40.50533376115642,-74.24656934235283,Troy Restaurant,Turkish Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Dollar Tree,Discount Store
Tottenville,40.50533376115642,-74.24656934235283,ShopRite of Veterans Rd,Grocery Store
Tottenville,40.50533376115642,-74.24656934235283,Cracker Barrel,Deli / Bodega
Tottenville,40.50533376115642,-74.24656934235283,Coney Island Restaurant,Restaurant
Tottenville,40.50533376115642,-74.24656934235283,BBQ Luso,BBQ Joint
Tottenville,40.50533376115642,-74.24656934235283,The Munck-ee Bar & Grill,Bar
Tottenville,40.50533376115642,-74.24656934235283,Aunt Butchies of Brooklyn,Bakery
Tottenville,40.50533376115642,-74.24656934235283,Pizza Pronto,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,South Amboy YMCA,Gym / Fitness Center
Tottenville,40.50533376115642,-74.24656934235283,Project Brunch,Breakfast Spot
Tottenville,40.50533376115642,-74.24656934235283,Killmeyer's Old Bavarian Inn,German Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Target,Big Box Store
Tottenville,40.50533376115642,-74.24656934235283,Fajji's,Ice Cream Shop
Tottenville,40.50533376115642,-74.24656934235283,Rosa's Deli,Deli / Bodega
Tottenville,40.50533376115642,-74.24656934235283,Amboy Asian Cafe,Asian Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Nucci's,Italian Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Sciortino's Harbor Lights,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Zio Toto - Staten Island,Italian Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Garden State Liquor,Liquor Store
Tottenville,40.50533376115642,-74.24656934235283,CVS pharmacy,Pharmacy
Tottenville,40.50533376115642,-74.24656934235283,Popeyes Louisiana Kitchen,Fried Chicken Joint
Tottenville,40.50533376115642,-74.24656934235283,Fernandes Steakhouse 3,Brazilian Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Garibaldi Mexican Restaurant,Mexican Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Il Forno,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Raritan Bay YMCA,Gym
Tottenville,40.50533376115642,-74.24656934235283,Broadway Bagels,Bagel Shop
Tottenville,40.50533376115642,-74.24656934235283,Top Tomato,Farmers Market
Tottenville,40.50533376115642,-74.24656934235283,Se salio el pollo,Peruvian Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Portuguese Manor,Spanish Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Walgreens,Pharmacy
Tottenville,40.50533376115642,-74.24656934235283,Domenico's Pizzeria,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Fenix Studios,Music Venue
